"21007";"ATIVO";"Codó";"CODO";"Codó";"1"
"21008";"ATIVO";"Imperatriz";"IMPERATRIZ";"Imperatriz";"1"
"21009";"ATIVO";"Itapecuru Mirim";"ITAPECURU MIRIM";"Itapecuru Mirim";"1"
"21010";"ATIVO";"Pedreiras";"PEDREIRAS";"Pedreiras";"1"
"21011";"ATIVO";"Pinheiro";"PINHEIRO";"Pinheiro";"1"
"21012";"ATIVO";"Presidente Dutra";"PRESIDENTE DUTRA";"Presidente Dutra";"1"
"21013";"ATIVO";"Rosário";"ROSARIO";"Rosário";"1"
"21014";"ATIVO";"Santa Inês";"SANTA INES";"Santa Inês";"1"
"21015";"ATIVO";"São João dos Patos";"SAO JOAO DOS PATOS";"São João dos Patos";"1"
"21016";"ATIVO";"São Luís";"SAO LUIS";"São Luís";"1"
"21017";"ATIVO";"Timon";"TIMON";"Timon";"1"
"21018";"ATIVO";"Viana";"VIANA";"Viana";"1"
"21019";"ATIVO";"Zé Doca";"ZE DOCA";"Zé Doca";"1"
"22000";"IGNOR";"Município ignorado - PI";"MUNICIPIO IGNORADO - PI";"Ignorado - PI";"8"
"22001";"ATIVO";"Carnaubais";"CARNAUBAIS";"Carnaubais";"1"
"22002";"ATIVO";"Chapada das Mangabeiras";"CHAPADA DAS MANGABEIRAS";"Chapada das Mangabeiras";"1"
"22003";"ATIVO";"Cocais";"COCAIS";"Cocais";"1"
"22004";"ATIVO";"Entre Rios";"ENTRE RIOS";"Entre Rios";"1"
"22005";"ATIVO";"Planície Litorânea";"PLANICIE LITORANEA";"Planície Litorânea";"1"
"22006";"ATIVO";"Serra da Capivara";"SERRA DA CAPIVARA";"Serra da Capivara";"1"
"22007";"ATIVO";"Tabuleiros do Alto Parnaíba";"TABULEIROS DO ALTO PARNAIBA";"Tabuleiros Alto Parnaíba";"1"
"22008";"ATIVO";"Vale do Canindé";"VALE DO CANINDE";"Vale do Canindé";"1"
"22009";"ATIVO";"Vale do Rio Guaribas";"VALE DO RIO GUARIBAS";"Vale do Rio Guaribas";"1"
"22010";"ATIVO";"Vale do Sambito";"VALE DO SAMBITO";"Vale do Sambito";"1"
"22011";"ATIVO";"Vale dos Rios Piauí e Itaueiras";"VALE DOS RIOS PIAUI E ITAUEIRAS";"Vale Rio Piauí/Itaueiras";"1"
"23000";"IGNOR";"Município ignorado - CE";"MUNICIPIO IGNORADO - CE";"Ignorado - CE";"8"
"23001";"ATIVO";"1ª Região Fortaleza";"1A REGIAO FORTALEZA";"1ª Região Fortaleza";"1"
"23002";"ATIVO";"2ª Região Caucaia";"2A REGIAO CAUCAIA";"2ª Região Caucaia";"1"
"23003";"ATIVO";"3ª Região Maracanaú";"3A REGIAO MARACANAU";"3ª Região Maracanaú";"1"
"23004";"ATIVO";"4ª Região Baturité";"4A REGIAO BATURITE";"4ª Região Baturité";"1"
"23005";"ATIVO";"5ª Região Canindé";"5A REGIAO CANINDE";"5ª Região Canindé";"1"
"23006";"ATIVO";"6ª Região Itapipoca";"6A REGIAO ITAPIPOCA";"6ª Região Itapipoca";"1"
"23007";"ATIVO";"7ª Região Aracati";"7A REGIAO ARACATI";"7ª Região Aracati";"1"
"23008";"ATIVO";"8ª Região Quixadá";"8A REGIAO QUIXADA";"8ª Região Quixadá";"1"
"23009";"ATIVO";"9ª Região Russas";"9A REGIAO RUSSAS";"9ª Região Russas";"1"
"23010";"ATIVO";"10ª Região Limoeiro do Norte";"10A REGIAO LIMOEIRO DO NORTE";"10ª Região Limoeiro Nort";"1"
"23011";"ATIVO";"11ª Região Sobral";"11A REGIAO SOBRAL";"11ª Região Sobral";"1"
"23012";"ATIVO";"12ª Região Acaraú";"12A REGIAO ACARAU";"12ª Região Acaraú";"1"
"23013";"ATIVO";"13ª Região Tianguá";"13A REGIAO TIANGUA";"13ª Região Tianguá";"1"
"23014";"ATIVO";"14ª Região Tauá";"14A REGIAO TAUA";"14ª Região Tauá";"1"
"23015";"ATIVO";"15ª Região Crateús";"15A REGIAO CRATEUS";"15ª Região Crateús";"1"
"23016";"ATIVO";"16ª Região Camocim";"16A REGIAO CAMOCIM";"16ª Região Camocim";"1"
"23017";"ATIVO";"17ª Região Icó";"17A REGIAO ICO";"17ª Região Icó";"1"
"23018";"ATIVO";"18ª Região Iguatú";"18A REGIAO IGUATU";"18ª Região Iguatú";"1"
"23019";"ATIVO";"19ª Região Brejo Santo";"19A REGIAO BREJO SANTO";"19ª Região Brejo Santo";"1"
"23020";"ATIVO";"20ª Região Crato";"20A REGIAO CRATO";"20ª Região Crato";"1"
"23021";"ATIVO";"21ª Região Juazeiro do Norte";"21A REGIAO JUAZEIRO DO NORTE";"21ª Região Juazeiro Nort";"1"
"23022";"ATIVO";"22ª Região Cascavel";"22A REGIAO CASCAVEL";"22ª Região Cascavel";"1"
