"25060";"ATIVO";"RMETR";"Cajazeiras - PB";"CAJAZEIRAS - PB";"Cajazeiras - PB";"1"
"25070";"ATIVO";"RMETR";"Vale do Piancó - PB";"VALE DO PIANCO - PB";"Vale do Piancó - PB";"1"
"25080";"ATIVO";"RMETR";"Barra de Santa Rosa - PB";"BARRA DE SANTA ROSA - PB";"Barra de Santa Rosa - PB";"1"
"25090";"ATIVO";"RMETR";"Vale do Mamanguape - PB";"VALE DO MAMANGUAPE - PB";"Vale do Mamanguape - PB";"1"
"25100";"ATIVO";"RMETR";"Sousa - PB";"SOUSA - PB";"Sousa - PB";"1"
"25110";"ATIVO";"RMETR";"Itabaiana - PB";"ITABAIANA - PB";"Itabaiana - PB";"1"
"25120";"ATIVO";"RMETR";"Araruna - PB";"ARARUNA - PB";"Araruna - PB";"1"
"25900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - PB";"FORA DA REGIAO METROPOLITANA - PB";"Fora de Reg.Metrop. - PB";"5"
"26000";"IGNOR";"IGNOR";"Município ignorado - PE";"MUNICIPIO IGNORADO - PE";"Ignorado - PE";"8"
"26010";"ATIVO";"RMETR";"Recife - PE";"RECIFE - PE";"Recife - PE";"1"
"26020";"ATIVO";"RIDE";"Pólo Petrolina e Juazeiro - PE/BA";"POLO PETROLINA E JUAZEIRO - PE/BA";"Petrolina/Juazeiro-PE/BA";"1"
"26900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - PE";"FORA DA REGIAO METROPOLITANA - PE";"Fora de Reg.Metrop. - PE";"5"
"27000";"IGNOR";"IGNOR";"Município ignorado - AL";"MUNICIPIO IGNORADO - AL";"Ignorado - AL";"8"
"27010";"ATIVO";"RMETR";"Maceió - AL";"MACEIO - AL";"Maceió - AL";"1"
"27020";"ATIVO";"RMETR";"Agreste - AL";"AGRESTE - AL";"Agreste - AL";"1"
"27030";"ATIVO";"RMETR";"Vale do Paraíba - AL";"VALE DO PARAIBA - AL";"Vale do Paraíba - AL";"1"
"27040";"ATIVO";"RMETR";"Zona da Mata - AL";"ZONA DA MATA - AL";"Zona da Mata - AL";"1"
"27050";"ATIVO";"RMETR";"Palmeira dos Índios - AL";"PALMEIRA DOS INDIOS - AL";"Palmeira dos Índios - AL";"1"
"27060";"ATIVO";"RMETR";"Caetés - AL";"CAETES - AL";"Caetés - AL";"1"
"27070";"ATIVO";"RMETR";"Sertão - AL";"SERTAO - AL";"Sertão - AL";"1"
"27080";"ATIVO";"RMETR";"Médio Sertão - AL";"MEDIO SERTAO - AL";"Médio Sertão - AL";"1"
"27900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - AL";"FORA DA REGIAO METROPOLITANA - AL";"Fora de Reg.Metrop. - AL";"5"
"28000";"IGNOR";"IGNOR";"Município ignorado - SE";"MUNICIPIO IGNORADO - SE";"Ignorado - SE";"8"
"28010";"ATIVO";"RMETR";"Aracaju - SE";"ARACAJU - SE";"Aracaju - SE";"1"
"28900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - SE";"FORA DA REGIAO METROPOLITANA - SE";"Fora de Reg.Metrop. - SE";"5"
"29000";"IGNOR";"IGNOR";"Município ignorado - BA";"MUNICIPIO IGNORADO - BA";"Ignorado - BA";"8"
"29010";"ATIVO";"RMETR";"Salvador - BA";"SALVADOR - BA";"Salvador - BA";"1"
"29020";"ATIVO";"RMETR";"Feira de Santana - BA";"FEIRA DE SANTANA - BA";"Feira de Santana - BA";"2"
"29021";"ATIVO";"SRMETR";"Feira de Santana - núcleo metropolit - BA";"FEIRA DE SANTANA - NUCLEO METROPOLIT - BA";"Fde Santana - núc - BA";"1"
"29022";"ATIVO";"SRMETR";"Feira de Santana - área de expansão - BA";"FEIRA DE SANTANA - AREA DE EXPANSAO - BA";"F.de Santana - exp - BA";"1"
"29900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - BA";"FORA DA REGIAO METROPOLITANA - BA";"Fora de Reg.Metrop. - BA";"5"
"31000";"IGNOR";"IGNOR";"Município ignorado - MG";"MUNICIPIO IGNORADO - MG";"Ignorado - MG";"8"
"31010";"ATIVO";"RMETR";"Belo Horizonte - MG";"BELO HORIZONTE - MG";"Belo Horizonte - MG";"2"
"31011";"ATIVO";"SRMETR";"Belo Horizonte - núcleo metropolitano - MG";"BELO HORIZONTE - NUCLEO METROPOLITANO - MG";"B.Horizonte - núcl - MG";"1"
"31012";"ATIVO";"SRMETR";"Belo Horizonte - colar metropolitano - MG";"BELO HORIZONTE - COLAR METROPOLITANO - MG";"BHorizonte - colar - MG";"1"
"31020";"ATIVO";"RMETR";"Vale do Aço - MG";"VALE DO ACO - MG";"Vale do Aço - MG";"2"
"31021";"ATIVO";"SRMETR";"Vale do Aço - núcleo metropolitano - MG";"VALE DO ACO - NUCLEO METROPOLITANO - - MG";"Vale do Aço - núcl - MG";"1"
"31022";"ATIVO";"SRMETR";"Vale do Aço - colar metropolitano - MG";"VALE DO ACO - COLAR METROPOLITANO - MG";"Vale do Aço - colar - MG";"1"
"31900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - MG";"FORA DA REGIAO METROPOLITANA - MG";"Fora de Reg.Metrop. - MG";"5"
"32000";"IGNOR";"IGNOR";"Município ignorado - ES";"MUNICIPIO IGNORADO - ES";"Ignorado - ES";"8"
"32010";"ATIVO";"RMETR";"Grande Vitória - ES";"GRANDE VITORIA - ES";"Grande Vitória - ES";"1"
"32900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - ES";"FORA DA REGIAO METROPOLITANA - ES";"Fora de Reg.Metrop. - ES";"5"
"33000";"IGNOR";"IGNOR";"Município ignorado - RJ";"MUNICIPIO IGNORADO - RJ";"Ignorado - RJ";"8"
"33010";"ATIVO";"RMETR";"Rio de Janeiro - RJ";"RIO DE JANEIRO - RJ";"Rio de Janeiro - RJ";"1"
"33900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - RJ";"FORA DA REGIAO METROPOLITANA - RJ";"Fora de Reg.Metrop. - RJ";"5"
"35000";"IGNOR";"IGNOR";"Município ignorado - SP";"MUNICIPIO IGNORADO - SP";"Ignorado - SP";"8"
"35010";"ATIVO";"RMETR";"São Paulo - SP";"SAO PAULO - SP";"São Paulo - SP";"1"
"35020";"ATIVO";"RMETR";"Baixada Santista - SP";"BAIXADA SANTISTA - SP";"Baixada Santista - SP";"1"
"35030";"ATIVO";"RMETR";"Campinas - SP";"CAMPINAS - SP";"Campinas - SP";"1"
"35040";"ATIVO";"RMETR";"Vale do Paraíba e Litoral Norte - SP";"VALE DO PARAIBA E LITORAL NORTE - SP";"V.Paraíba/Lit Norte - SP";"1"
"35041";"ATIVO";"SRMETR";"Vale Paraíba/Litoral Norte - Subreg 1 - SP";"VALE PARAIBA/LITORAL NORTE - SUBREG 1 - SP";"V.Paraíba/Lit Nort 1 -SP";"1"
"35042";"ATIVO";"SRMETR";"Vale Paraíba/Litoral Norte - Subreg 2 - SP";"VALE PARAIBA/LITORAL NORTE - SUBREG 2 - SP";"V.Paraíba/Lit Nort 2 -SP";"1"
"35043";"ATIVO";"SRMETR";"Vale Paraíba/Litoral Norte - Subreg 3 - SP";"VALE PARAIBA/LITORAL NORTE - SUBREG 3 - SP";"V.Paraíba/Lit Nort 3 -SP";"1"
"35044";"ATIVO";"SRMETR";"Vale Paraíba/Litoral Norte - Subreg 4 - SP";"VALE PARAIBA/LITORAL NORTE - SUBREG 4 - SP";"V.Paraíba/Lit Nort 4 -SP";"1"
"35045";"ATIVO";"SRMETR";"Vale Paraíba/Litoral Norte - Subreg 5 - SP";"VALE PARAIBA/LITORAL NORTE - SUBREG 5 - SP";"V.Paraíba/Lit Nort 5 -SP";"1"
"35050";"ATIVO";"RMETR";"Jundiaí - SP";"JUNDIAI - SP";"Jundiaí - SP";"1"
"35060";"ATIVO";"RMETR";"Piracicaba - SP";"PIRACICABA - SP";"Piracicaba - SP";"1"
"35070";"ATIVO";"RMETR";"Sorocaba - SP";"SOROCABA - SP";"Sorocaba - SP";"1"
"35900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - SP";"FORA DA REGIAO METROPOLITANA - SP";"Fora de Reg.Metrop. - SP";"5"
"41000";"IGNOR";"IGNOR";"Município ignorado - PR";"MUNICIPIO IGNORADO - PR";"Ignorado - PR";"8"
"41010";"ATIVO";"RMETR";"Curitiba - PR";"CURITIBA - PR";"Curitiba - PR";"1"
"41020";"ATIVO";"RMETR";"Londrina - PR";"LONDRINA - PR";"Londrina - PR";"1"
"41030";"ATIVO";"RMETR";"Maringá - PR";"MARINGA - PR";"Maringá - PR";"1"
"41040";"ATIVO";"RMETR";"Umuarama - PR";"UMUARAMA - PR";"Umuarama - PR";"1"
"41050";"ATIVO";"RMETR";"Apucarana - PR";"APUCARANA - PR";"Apucarana - PR";"1"
"41060";"ATIVO";"RMETR";"Campo Mourão - PR";"CAMPO MOURAO - PR";"Campo Mourão - PR";"1"
"41070";"ATIVO";"RMETR";"Cascavel - PR";"CASCAVEL - PR";"Cascavel - PR";"1"
"41080";"ATIVO";"RMETR";"Toledo - PR";"TOLEDO - PR";"Toledo - PR";"1"
"41900";"OUTROS";"OUTROS";"Fora da Região Metropolitana - PR";"FORA DA REGIAO METROPOLITANA - PR";"Fora de Reg.Metrop. - PR";"5"
"42000";"IGNOR";"IGNOR";"Município ignorado - SC";"MUNICIPIO IGNORADO - SC";"Ignorado - SC";"8"
"42010";"ATIVO";"RMETR";"Florianópolis - SC";"FLORIANOPOLIS -SC";"Florianópolis - SC";"2"
"42011";"ATIVO";"SRMETR";"Florianópolis - núcleo metropolitano - SC";"FLORIANOPOLIS - NUCLEO METROPOLITANO - SC";"Florianópolis - núc - SC";"1"
"42012";"ATIVO";"SRMETR";"Florianópolis - área de expansão - SC";"FLORIANOPOLIS - AREA DE EXPANSAO - SC";"Florianópolis - exp - SC";"1"
"42020";"ATIVO";"RMETR";"Vale do Itajaí - SC";"VALE DO ITAJAI - SC";"Vale do Itajaí - SC";"2"
"42021";"ATIVO";"SRMETR";"Vale do Itajaí - núcleo metropolitano - SC";"VALE DO ITAJAI - NUCLEO METROPOLITANO - SC";"Vale Itajaí - núc - SC";"1"
"42022";"ATIVO";"SRMETR";"Vale do Itajaí - área de expansão - SC";"VALE DO ITAJAI - AREA DE EXPANSAO - SC";"Vale Itajaí - exp - SC";"1"
"42030";"ATIVO";"RMETR";"Norte/Nordeste  Catarinense - SC";"NORTE/NORDESTE CATARINENSE - SC";"Norte/Nordeste  - SC";"2"
"42031";"ATIVO";"SRMETR";"Norte/Nordeste Catar - núcleo metrop - SC";"NORTE/NORDESTE CATAR - NUCLEO METROP - SC";"Norte/Nordest - núc - SC";"1"
"42032";"ATIVO";"SRMETR";"Norte/Nordeste Catar - área expansão - SC";"NORTE/NORDESTE CATAR - ÁREA EXPANSÃO - SC";"Norte/Nordest - exp - SC";"1"
"42040";"ATIVO";"RMETR";"Foz do Rio Itajaí - SC";"FOZ DO RIO ITAJAI - SC";"Foz do Rio Itajaí - SC";"2"
"42041";"ATIVO";"SRMETR";"Foz do Rio Itajaí - núcleo metropolit - SC";"FOZ DO RIO ITAJAI - NUCLEO METROPOLIT - SC";"Foz R.Itajaí - núc - SC";"1"
"42042";"ATIVO";"SRMETR";"Foz do Rio Itajaí - área de expansão - SC";"FOZ DO RIO ITAJAI - AREA DE EXPANSAO - SC";"Foz R.Itajaí - exp - SC";"1"
"42050";"ATIVO";"RMETR";"Carbonífera - SC";"CARBONIFERA - SC";"Carbonífera - SC";"2"
"42051";"ATIVO";"SRMETR";"Carbonífera - núcleo metropolitano - SC";"CARBONIFERA - NUCLEO METROPOLITANO - SC";"Carbonífera - núc - SC";"1"
"42052";"ATIVO";"SRMETR";"Carbonífera - área de expansão - SC";"CARBONIFERA - AREA DE EXPANSAO - SC";"Carbonífera - exp - SC";"1"
"42060";"ATIVO";"RMETR";"Tubarão - SC";"TUBARAO - SC";"Tubarão - SC";"2"
"42061";"ATIVO";"SRMETR";"Tubarão - núcleo metropolitano - SC";"TUBARAO - NUCLEO METROPOLITANO - SC";"Tubarão - núc - SC";"1"
"42062";"ATIVO";"SRMETR";"Tubarão - área de expansão - SC";"TUBARAO - AREA DE EXPANSAO - SC";"Tubarão - exp - SC";"1"
"42070";"ATIVO";"RMETR";"Lages - SC";"LAGES - SC";"Lages - SC";"2"
"42071";"ATIVO";"SRMETR";"Lages - núcleo metropolitano - SC";"LAGES - NUCLEO METROPOLITANO - SC";"Lages - núc - SC";"1"
"42072";"ATIVO";"SRMETR";"Lages - área de expansão - SC";"LAGES - AREA DE EXPANSAO - SC";"Lages - exp - SC";"1"
"42080";"ATIVO";"RMETR";"Chapecó - SC";"CHAPECO - SC";"Chapecó - SC";"2"
"42081";"ATIVO";"SRMETR";"Chapecó - núcleo metropolitano - SC";"RM CHAPECO - NUCLEO METROPOLITANO - SC";"Chapecó - núc - SC";"1"
"42082";"ATIVO";"SRMETR";"Chapecó - área de expansão - SC";"RM CHAPECO - AREA DE EXPANSAO - SC";"Chapecó - exp - SC";"1"
"42090";"ATIVO";"RMETR";"Alto Vale do Itajaí - SC";"ALTO VALE DO ITAJAI - SC";"Alto Vale do Itajaí - SC";"2"
"42091";"ATIVO";"SRMETR";"Alto Vale do Itajaí - núcleo metropol - SC";"ALTO VALE DO ITAJAI - NUCLEO METROPOL - SC";"Alto V.Itajaí - núc - SC";"1"
"42092";"ATIVO";"SRMETR";"Alto Vale do Itajaí - área expansão - SC";"ALTO VALE DO ITAJAI - AREA EXPANSAO - SC";"Alto V.Itajaí - exp - SC";"1"
"42100";"ATIVO";"RMETR";"Extremo Oeste - SC";"EXTREMO OESTE - SC";"Extremo Oeste - SC";"2"
