"2316";"ATIVO";"Camocim";"CAMOCIM";"Camocim";"1"
"2317";"ATIVO";"Icó";"ICO";"Icó";"1"
"2318";"ATIVO";"Iguatu";"IGUATU";"Iguatu";"1"
"2319";"ATIVO";"Brejo Santo";"BREJO SANTO";"Brejo Santo";"1"
"2320";"ATIVO";"Crato";"CRATO";"Crato";"1"
"2321";"ATIVO";"Juazeiro do Norte";"JUAZEIRO DO NORTE";"Juazeiro do Norte";"1"
"2400";"IGNOR";"Município ignorado - RN";"MUNICIPIO IGNORADO - RN";"Município ignorado - RN";"8"
"2490";"OUTROS";"Sem divisão administrativa estadual - RN";"SEM DIVISAO ADMINISTRATIVA ESTADUAL - RN";"Sem div.adm.estadual RN";"5"
"2500";"IGNOR";"Município ignorado - PB";"MUNICIPIO IGNORADO - PB";"Município ignorado - PB";"8"
"2501";"ATIVO";"I NRS";"I NRS";"I NRS";"1"
"2502";"ATIVO";"II NRS";"II NRS";"II NRS";"1"
"2503";"ATIVO";"III NRS";"III NRS";"III NRS";"1"
"2504";"ATIVO";"IV NRS";"IV NRS";"IV NRS";"1"
"2505";"ATIVO";"V NRS";"V NRS";"V NRS";"1"
"2506";"ATIVO";"VI NRS";"VI NRS";"VI NRS";"1"
"2507";"ATIVO";"VII NRS";"VII NRS";"VII NRS";"1"
"2508";"ATIVO";"VIII NRS";"VIII NRS";"VIII NRS";"1"
"2509";"ATIVO";"IX NRS";"IX NRS";"IX NRS";"1"
"2510";"ATIVO";"X NRS";"X NRS";"X NRS";"1"
"2511";"ATIVO";"XI NRS";"XI NRS";"XI NRS";"1"
"2512";"ATIVO";"XII NRS";"XII NRS";"XII NRS";"1"
"2600";"IGNOR";"Município ignorado - PE";"MUNICIPIO IGNORADO - PE";"Município ignorado - PE";"8"
"2601";"ATIVO";"I Geres - Recife";"I GERES - RECIFE";"I Geres Recife";"1"
"2602";"ATIVO";"II Geres - Limoeiro";"II GERES - LIMOEIRO";"II Geres Limoeiro";"1"
"2603";"ATIVO";"III Geres - Palmares";"III GERES - PALMARES";"III Geres Palmares";"1"
"2604";"ATIVO";"IV Geres - Caruaru";"IV GERES - CARUARU";"IV Geres Caruaru";"1"
"2605";"ATIVO";"V Geres - Garanhuns";"V GERES - GARANHUNS";"V Geres Garanhuns";"1"
"2606";"ATIVO";"VI Geres - Arcoverde";"VI GERES - ARCOVERDE";"VI Geres Arcoverde";"1"
"2607";"ATIVO";"VII Geres - Salgueiro";"VII GERES - SALGUEIRO";"VII Geres Salgueiro";"1"
"2608";"ATIVO";"VIII Geres - Petrolina";"VIII GERES - PETROLINA";"VIII Geres Petrolina";"1"
"2609";"ATIVO";"IX Geres - Ouricuri";"IX GERES - OURICURI";"IX Geres Ouricuri";"1"
"2610";"ATIVO";"X Geres - Afogados da Ingazeira";"X GERES - AFOGADOS DA INGAZEIRA";"X Geres Afogad Ingazeira";"1"
"2611";"ATIVO";"XI Geres - Serra Talhada";"XI GERES - SERRA TALHADA";"XI Serra Talhada";"1"
"2612";"ATIVO";"XII Geres - Goiana";"XII GERES - GOIANA";"XII Goiana";"1"
"2700";"IGNOR";"Município ignorado - AL";"MUNICIPIO IGNORADO - AL";"Município ignorado - AL";"8"
"2790";"OUTROS";"Sem divisão administrativa estadual - AL";"SEM DIVISAO ADMINISTRATIVA ESTADUAL - AL";"Sem div.adm.estadual AL";"5"
"2800";"IGNOR";"Município ignorado - SE";"MUNICIPIO IGNORADO - SE";"Município ignorado - SE";"8"
"2890";"OUTROS";"Sem divisão administrativa estadual - SE";"SEM DIVISAO ADMINISTRATIVA ESTADUAL - SE";"Sem div.adm.estadual SE";"5"
"2900";"IGNOR";"Município ignorado - BA";"MUNICIPIO IGNORADO - BA";"Município ignorado - BA";"8"
"2901";"ATIVO";"Salvador";"SALVADOR";"Salvador";"1"
"2902";"ATIVO";"Feira de Santana";"FEIRA DE SANTANA";"Feira de Santana";"1"
"2903";"ATIVO";"Alagoinhas";"ALAGOINHAS";"Alagoinhas";"1"
"2904";"ATIVO";"Santo Antônio de Jesus";"SANTO ANTONIO DE JESUS";"Santo Antônio de Jesus";"1"
"2905";"ATIVO";"Gandu";"GANDU";"Gandu";"1"
"2906";"ATIVO";"Ilhéus";"ILHEUS";"Ilhéus";"1"
"2907";"ATIVO";"Itabuna";"ITABUNA";"Itabuna";"1"
"2908";"ATIVO";"Eunápolis";"EUNAPOLIS";"Eunápolis";"1"
"2909";"ATIVO";"Teixeira de Freitas";"TEIXEIRA DE FREITAS";"Teixeira de Freitas";"1"
"2910";"ATIVO";"Paulo Afonso";"PAULO AFONSO";"Paulo Afonso";"1"
"2911";"ATIVO";"Cícero Dantas";"CICERO DANTAS";"Cícero Dantas";"1"
"2912";"ATIVO";"Serrinha";"SERRINHA";"Serrinha";"1"
"2913";"ATIVO";"Jequié";"JEQUIE";"Jequié";"1"
"2914";"ATIVO";"Itapetinga";"ITAPETINGA";"Itapetinga";"1"
"2915";"ATIVO";"Juazeiro";"JUAZEIRO";"Juazeiro";"1"
"2916";"ATIVO";"Jacobina";"JACOBINA";"Jacobina";"1"
"2917";"ATIVO";"Mundo Novo";"MUNDO NOVO";"Mundo Novo";"1"
"2918";"ATIVO";"Itaberaba";"ITABERABA";"Itaberaba";"1"
"2919";"ATIVO";"Brumado";"BRUMADO";"Brumado";"1"
"2920";"ATIVO";"Vitória da Conquista";"VITORIA DA CONQUISTA";"Vitória da Conquista";"1"
"2921";"ATIVO";"Irecê";"IRECE";"Irecê";"1"
"2922";"ATIVO";"Ibotirama";"IBOTIRAMA";"Ibotirama";"1"
"2923";"ATIVO";"Boquira";"BOQUIRA";"Boquira";"1"
"2924";"ATIVO";"Caetité";"CAETITE";"Caetité";"1"
"2925";"ATIVO";"Barreiras";"BARREIRAS";"Barreiras";"1"
"2926";"ATIVO";"Santa Maria da Vitória";"SANTA MARIA DA VITORIA";"Santa Maria da Vitória";"1"
"2927";"ATIVO";"Seabra";"SEABRA";"Seabra";"1"
"2928";"ATIVO";"Senhor do Bonfim";"SENHOR DO BONFIM";"Senhor do Bonfim";"1"
"2929";"ATIVO";"Amargosa";"AMARGOSA";"Amargosa";"1"
"2930";"ATIVO";"Guanambi";"GUANAMBI";"Guanambi";"1"
"2931";"ATIVO";"Cruz das Almas";"CRUZ DAS ALMAS";"Cruz das Almas";"1"
"3100";"IGNOR";"Município ignorado - MG";"MUNICIPIO IGNORADO - MG";"Município ignorado - MG";"8"
"3101";"ATIVO";"SRS Belo Horizonte";"SRS BELO HORIZONTE";"SRS Belo Horizonte";"1"
"3103";"ATIVO";"SRS Barbacena";"SRS BARBACENA";"SRS Barbacena";"1"
"3104";"ATIVO";"SRS Diamantina";"SRS DIAMANTINA";"SRS Diamantina";"1"
"3105";"ATIVO";"SRS Juiz de Fora";"SRS JUIZ DE FORA";"SRS Juiz de Fora";"1"
"3106";"ATIVO";"SRS Montes Claros";"SRS MONTES CLAROS";"SRS Montes Claros";"1"
"3107";"ATIVO";"SRS Patos de Minas";"SRS PATOS DE MINAS";"SRS Patos de Minas";"1"
"3108";"ATIVO";"SRS Ponte Nova";"SRS PONTE NOVA";"SRS Ponte Nova";"1"
"3109";"ATIVO";"GRS Itabira";"GRS ITABIRA";"GRS Itabira";"1"
"3110";"ATIVO";"SRS Pouso Alegre";"SRS POUSO ALEGRE";"SRS Pouso Alegre";"1"
"3111";"ATIVO";"SRS Varginha";"SRS VARGINHA";"SRS Varginha";"1"
"3112";"ATIVO";"SRS Uberlândia";"SRS UBERLANDIA";"SRS Uberlândia";"1"
"3113";"ATIVO";"SRS Uberaba";"SRS UBERABA";"SRS Uberaba";"1"
"3114";"ATIVO";"SRS Sete Lagoas";"SRS SETE LAGOAS";"SRS Sete Lagoas";"1"
"3115";"ATIVO";"SRS Divinópolis";"SRS DIVINOPOLIS";"SRS Divinópolis";"1"
"3116";"ATIVO";"SRS Governador Valadares";"SRS GOVERNADOR VALADARES";"SRS Governador Valadares";"1"
